POWO_ID,threat_prediction,full_name,GBIF_SuggestedKey,kin,phy,ord,fam,GBIF_SuggestedGen,GBIF_SuggestedSpe,GBIF_Suggestedauth,GBIF_SuggestedNameStatus,GBIF_AcceptedKey,Warning,TDWGCount,EcoregionCount,EOO,AOO,RecordCount,norm_forest_loss,norm_hfoot
674030-1,NonThreat,Acharia tragodes Thunb.,5569030,Plantae,Tracheophyta,Malpighiales,Achariaceae,Acharia,Acharia tragodes,Thunb.,ACCEPTED,5569030,;,1,5,10710.91628,8,11,5409,7.296775773
674503-1,NonThreat,Guthriea capensis Bolus,3761017,Plantae,Tracheophyta,Malpighiales,Achariaceae,Guthriea,Guthriea capensis,Bolus,ACCEPTED,3761017,;,3,4,96299.75899,18,23,5462.905968,7.844920796
77065008-1,Threat,Dasylepis thomasii Obama & Breteler,7874676,Plantae,Tracheophyta,Malpighiales,Achariaceae,Dasylepis,Dasylepis thomasii,Obama & Breteler,ACCEPTED,7874676,;,2,2,2611.525629,11,249,17618.13066,9.89296392
77130728-1,Threat,"Kuhlmanniodendron macrocarpum Groppo, Favaretto & Fiaschi",8192070,Plantae,Tracheophyta,Malpighiales,Achariaceae,Kuhlmanniodendron,Kuhlmanniodendron macrocarpum,"Groppo, Favaretto & Fiaschi",ACCEPTED,8192070,;,1,2,2125.613547,4,7,130424,7.910690873
948241-1,Threat,Rawsonia burtt-davyi (Edlin) F.White,3878338,Plantae,Tracheophyta,Malpighiales,Achariaceae,Rawsonia,Rawsonia burtt-davyi,F.White (Edlin),ACCEPTED,3878338,;,1,1,33.76551618,3,6,2676,8.424772963
365030-1,Insufficient Data,Carpotroche amazonica Mart. ex Eichler,7686867,Plantae,Tracheophyta,Malpighiales,Achariaceae,Carpotroche,Carpotroche amazonica,Mart. ex Eichler,SYNONYM,3878163,GBIF matched name not treated as accepted;,,,,,,,
30167491-2,Insufficient Data,Carpotroche brasiliensis (Raddi) A.Gray,8307682,Plantae,Tracheophyta,Malpighiales,Achariaceae,Carpotroche,Carpotroche brasiliensis,A Gray (Raddi),SYNONYM,7274079,GBIF matched name not treated as accepted;,,,,,,,
111547-1,Insufficient Data,Dasylepis integra Warb.,5603343,Plantae,Tracheophyta,Malpighiales,Achariaceae,Dasylepis,Dasylepis integra,Warb.,DOUBTFUL,5603343,GBIF matched name not treated as accepted;,,,,,,,
111583-1,Insufficient Data,Erythrospermum ampullaceum Baker,3880113,Plantae,Tracheophyta,Malpighiales,Achariaceae,Erythrospermum,Erythrospermum monticolum,Baker,SYNONYM,8350553,GBIF matched name not treated as accepted;,,,,,,,
111585-1,Insufficient Data,Erythrospermum boivinianum Baill.,3880100,Plantae,Tracheophyta,Malpighiales,Achariaceae,Erythrospermum,Erythrospermum monticolum,Baill.,SYNONYM,8350553,GBIF matched name not treated as accepted;,,,,,,,
111586-1,Insufficient Data,Erythrospermum capitatum Baker,3880088,Plantae,Tracheophyta,Malpighiales,Achariaceae,Erythrospermum,Erythrospermum monticolum,Baker,SYNONYM,8350553,GBIF matched name not treated as accepted;,,,,,,,
111589-1,Insufficient Data,Erythrospermum corymbosum Baill.,3880065,Plantae,Tracheophyta,Malpighiales,Achariaceae,Erythrospermum,Erythrospermum monticolum,Baill.,SYNONYM,8350553,GBIF matched name not treated as accepted;,,,,,,,
111590-1,Insufficient Data,Erythrospermum crassipes Baill.,3880057,Plantae,Tracheophyta,Malpighiales,Achariaceae,Erythrospermum,Erythrospermum monticolum,Baill.,SYNONYM,8350553,GBIF matched name not treated as accepted;,,,,,,,
111600-1,Insufficient Data,Erythrospermum laurei Baill.,3880002,Plantae,Tracheophyta,Malpighiales,Achariaceae,Erythrospermum,Erythrospermum monticolum,Baill.,SYNONYM,8350553,GBIF matched name not treated as accepted;,,,,,,,
111609-1,Insufficient Data,Erythrospermum nossibeense Baill.,3879909,Plantae,Tracheophyta,Malpighiales,Achariaceae,Erythrospermum,Erythrospermum monticolum,Baill.,SYNONYM,8350553,GBIF matched name not treated as accepted;,,,,,,,
111613-1,Insufficient Data,Erythrospermum pervillei Baill.,3879882,Plantae,Tracheophyta,Malpighiales,Achariaceae,Erythrospermum,Erythrospermum monticolum,Baill.,SYNONYM,8350553,GBIF matched name not treated as accepted;,,,,,,,
111619-1,Insufficient Data,Erythrospermum richardianum Baill.,3879795,Plantae,Tracheophyta,Malpighiales,Achariaceae,Erythrospermum,Erythrospermum monticolum,Baill.,SYNONYM,8350553,GBIF matched name not treated as accepted;,,,,,,,
111620-1,Insufficient Data,Erythrospermum rignyanum Baill.,3879790,Plantae,Tracheophyta,Malpighiales,Achariaceae,Erythrospermum,Erythrospermum monticolum,Baill.,SYNONYM,8350553,GBIF matched name not treated as accepted;,,,,,,,
