"accepted","full_name","base_url","POWO_ID","family"
"TRUE","Anisacanthus tetracaulis Leonard","/taxon/urn:lsid:ipni.org:names:","13947-2","Acanthaceae"
"TRUE","Anisacanthus thurberi (Torr.) A.Gray","/taxon/urn:lsid:ipni.org:names:","45260-1","Acanthaceae"
"TRUE","Anisacanthus trilobus Lindau","/taxon/urn:lsid:ipni.org:names:","13948-2","Acanthaceae"
"TRUE","Anisacanthus tulensis Greenm.","/taxon/urn:lsid:ipni.org:names:","13949-2","Acanthaceae"
"TRUE","Anisosepalum alboviolaceum (Benoist) E.Hossain","/taxon/urn:lsid:ipni.org:names:","45265-1","Acanthaceae"
"TRUE","Anisosepalum humbertii (Mildbr.) E.Hossain","/taxon/urn:lsid:ipni.org:names:","45266-1","Acanthaceae"
"TRUE","Anisosepalum lewallei Bamps","/taxon/urn:lsid:ipni.org:names:","45267-1","Acanthaceae"
"TRUE","Anisostachya aequiloba Benoist","/taxon/urn:lsid:ipni.org:names:","45268-1","Acanthaceae"
"TRUE","Anisostachya ambositrensis Benoist","/taxon/urn:lsid:ipni.org:names:","45269-1","Acanthaceae"
"TRUE","Anisostachya amoena Benoist","/taxon/urn:lsid:ipni.org:names:","45270-1","Acanthaceae"
"TRUE","Anisostachya andringitrensis Benoist","/taxon/urn:lsid:ipni.org:names:","45271-1","Acanthaceae"
"TRUE","Anisostachya apikyensis Benoist","/taxon/urn:lsid:ipni.org:names:","45272-1","Acanthaceae"
"TRUE","Anisostachya arida (Scott Elliot) Benoist","/taxon/urn:lsid:ipni.org:names:","45273-1","Acanthaceae"
"TRUE","Anisostachya armandii Benoist","/taxon/urn:lsid:ipni.org:names:","45274-1","Acanthaceae"
"TRUE","Anisostachya atrorubra Benoist","/taxon/urn:lsid:ipni.org:names:","45275-1","Acanthaceae"
"TRUE","Anisostachya australis Benoist","/taxon/urn:lsid:ipni.org:names:","45276-1","Acanthaceae"
"TRUE","Anisostachya betsiliensis Benoist","/taxon/urn:lsid:ipni.org:names:","45278-1","Acanthaceae"
"TRUE","Anisostachya betsimisaraka Benoist","/taxon/urn:lsid:ipni.org:names:","45279-1","Acanthaceae"
"TRUE","Anisostachya bivalvis Benoist","/taxon/urn:lsid:ipni.org:names:","45280-1","Acanthaceae"
"TRUE","Anisostachya bojeri Nees","/taxon/urn:lsid:ipni.org:names:","45281-1","Acanthaceae"
"TRUE","Anisostachya bosseri Benoist","/taxon/urn:lsid:ipni.org:names:","45282-1","Acanthaceae"
"TRUE","Anisostachya brevibracteata Benoist","/taxon/urn:lsid:ipni.org:names:","45283-1","Acanthaceae"
"TRUE","Anisostachya breviloba Benoist","/taxon/urn:lsid:ipni.org:names:","45284-1","Acanthaceae"
"TRUE","Anisostachya capuronii Benoist","/taxon/urn:lsid:ipni.org:names:","45285-1","Acanthaceae"
"TRUE","Anisostachya castellana Benoist","/taxon/urn:lsid:ipni.org:names:","45286-1","Acanthaceae"
"TRUE","Anisostachya coccinea Benoist","/taxon/urn:lsid:ipni.org:names:","45287-1","Acanthaceae"
"TRUE","Anisostachya cognata Benoist","/taxon/urn:lsid:ipni.org:names:","45288-1","Acanthaceae"
"TRUE","Anisostachya colorata Benoist","/taxon/urn:lsid:ipni.org:names:","45289-1","Acanthaceae"
"TRUE","Anisostachya debilis Benoist","/taxon/urn:lsid:ipni.org:names:","45291-1","Acanthaceae"
"TRUE","Anisostachya delphinensis Benoist","/taxon/urn:lsid:ipni.org:names:","45292-1","Acanthaceae"
"TRUE","Anisostachya denticulata Benoist","/taxon/urn:lsid:ipni.org:names:","45293-1","Acanthaceae"
"TRUE","Anisostachya dispersa Benoist","/taxon/urn:lsid:ipni.org:names:","45294-1","Acanthaceae"
"TRUE","Anisostachya elata Benoist","/taxon/urn:lsid:ipni.org:names:","45295-1","Acanthaceae"
"TRUE","Anisostachya elliptica Benoist","/taxon/urn:lsid:ipni.org:names:","45296-1","Acanthaceae"
"TRUE","Anisostachya elytraria (Lindau) Benoist","/taxon/urn:lsid:ipni.org:names:","45297-1","Acanthaceae"
"TRUE","Anisostachya eromoensis Benoist","/taxon/urn:lsid:ipni.org:names:","45298-1","Acanthaceae"
"TRUE","Anisostachya haplostachya (Nees) Lindau","/taxon/urn:lsid:ipni.org:names:","45299-1","Acanthaceae"
"TRUE","Anisostachya humbertii Benoist","/taxon/urn:lsid:ipni.org:names:","45300-1","Acanthaceae"
"TRUE","Anisostachya humblotii Benoist","/taxon/urn:lsid:ipni.org:names:","45301-1","Acanthaceae"
"TRUE","Anisostachya incisa Benoist","/taxon/urn:lsid:ipni.org:names:","45302-1","Acanthaceae"
"TRUE","Anisostachya induta Benoist","/taxon/urn:lsid:ipni.org:names:","45303-1","Acanthaceae"
"TRUE","Anisostachya latebracteata Benoist","/taxon/urn:lsid:ipni.org:names:","45305-1","Acanthaceae"
"TRUE","Anisostachya littoralis Benoist","/taxon/urn:lsid:ipni.org:names:","45306-1","Acanthaceae"
"TRUE","Anisostachya maculata Benoist","/taxon/urn:lsid:ipni.org:names:","45307-1","Acanthaceae"
"TRUE","Anisostachya modica Benoist","/taxon/urn:lsid:ipni.org:names:","45308-1","Acanthaceae"
"TRUE","Anisostachya oblonga Benoist","/taxon/urn:lsid:ipni.org:names:","45309-1","Acanthaceae"
"TRUE","Anisostachya parvifolia Benoist","/taxon/urn:lsid:ipni.org:names:","45310-1","Acanthaceae"
"TRUE","Anisostachya paucinervis Benoist","/taxon/urn:lsid:ipni.org:names:","45311-1","Acanthaceae"
"TRUE","Anisostachya perrieri Benoist","/taxon/urn:lsid:ipni.org:names:","45312-1","Acanthaceae"
"TRUE","Anisostachya puberula Benoist","/taxon/urn:lsid:ipni.org:names:","45313-1","Acanthaceae"
"TRUE","Anisostachya pubescens Benoist","/taxon/urn:lsid:ipni.org:names:","45314-1","Acanthaceae"
"TRUE","Anisostachya purpurea Benoist","/taxon/urn:lsid:ipni.org:names:","45315-1","Acanthaceae"
"TRUE","Anisostachya ramosa Benoist","/taxon/urn:lsid:ipni.org:names:","45316-1","Acanthaceae"
"TRUE","Anisostachya reptans (Nees) Lindau","/taxon/urn:lsid:ipni.org:names:","45317-1","Acanthaceae"
"TRUE","Anisostachya ripicola Benoist","/taxon/urn:lsid:ipni.org:names:","45318-1","Acanthaceae"
"TRUE","Anisostachya rivalis Benoist","/taxon/urn:lsid:ipni.org:names:","45319-1","Acanthaceae"
"TRUE","Anisostachya rosea Benoist","/taxon/urn:lsid:ipni.org:names:","45320-1","Acanthaceae"
"TRUE","Anisostachya sambiranensis Benoist","/taxon/urn:lsid:ipni.org:names:","45321-1","Acanthaceae"
"TRUE","Anisostachya seyrigii Benoist","/taxon/urn:lsid:ipni.org:names:","45322-1","Acanthaceae"
"TRUE","Anisostachya spatulata Benoist","/taxon/urn:lsid:ipni.org:names:","45323-1","Acanthaceae"
"TRUE","Anisostachya straminea Benoist","/taxon/urn:lsid:ipni.org:names:","45324-1","Acanthaceae"
"TRUE","Anisostachya taviala Benoist","/taxon/urn:lsid:ipni.org:names:","45325-1","Acanthaceae"
"TRUE","Anisostachya tenella (Nees) Lindau","/taxon/urn:lsid:ipni.org:names:","45326-1","Acanthaceae"
"TRUE","Anisostachya ungemachii Benoist","/taxon/urn:lsid:ipni.org:names:","45328-1","Acanthaceae"
"TRUE","Anisostachya velutina Nees","/taxon/urn:lsid:ipni.org:names:","45329-1","Acanthaceae"
"TRUE","Anisostachya vestita Benoist","/taxon/urn:lsid:ipni.org:names:","45330-1","Acanthaceae"
"TRUE","Anisostachya vohemarensis Benoist","/taxon/urn:lsid:ipni.org:names:","45331-1","Acanthaceae"
"TRUE","Anisotes bracteatus Milne-Redh.","/taxon/urn:lsid:ipni.org:names:","45332-1","Acanthaceae"
"TRUE","Anisotes comorensis (Lindau) T.F.Daniel","/taxon/urn:lsid:ipni.org:names:","77141128-1","Acanthaceae"
"TRUE","Anisotes divaricatus T.F.Daniel, Mbola, Almeda & Phillipson","/taxon/urn:lsid:ipni.org:names:","77086735-1","Acanthaceae"
"TRUE","Anisotes diversifolius Balf.f.","/taxon/urn:lsid:ipni.org:names:","45333-1","Acanthaceae"
"TRUE","Anisotes dumosus Milne-Redh.","/taxon/urn:lsid:ipni.org:names:","45334-1","Acanthaceae"
"TRUE","Anisotes galanae (Baden) Vollesen","/taxon/urn:lsid:ipni.org:names:","77109776-1","Acanthaceae"
"TRUE","Anisotes guineensis Lindau","/taxon/urn:lsid:ipni.org:names:","45336-1","Acanthaceae"
"TRUE","Anisotes hygroscopicus T.F.Daniel, Letsara & Martín-Bravo","/taxon/urn:lsid:ipni.org:names:","77137828-1","Acanthaceae"
"TRUE","Anisotes involucratus Fiori","/taxon/urn:lsid:ipni.org:names:","45337-1","Acanthaceae"
"TRUE","Anisotes longistrobus (C.B.Clarke) Vollesen","/taxon/urn:lsid:ipni.org:names:","77147174-1","Acanthaceae"
"TRUE","Anisotes macrophyllus (Lindau) Heine","/taxon/urn:lsid:ipni.org:names:","45338-1","Acanthaceae"
"TRUE","Anisotes madagascariensis Benoist","/taxon/urn:lsid:ipni.org:names:","45339-1","Acanthaceae"
